Model,Accuracy,AUC-ROC,F1,Precision,Recall,Specificity,TP,TN,FP,FN
Lojistik Reg.,0.7068965517241379,0.8351973684210526,0.5641025641025641,0.5789473684058172,0.54999999998625,0.7894736842001384,22,60,16,18
KNN (K=26),0.7672413793103449,0.8268092105263158,0.6301369863013698,0.6969696969485768,0.574999999985625,0.8684210526201523,23,66,10,17
Gaussian NB,0.7155172413793104,0.7786184210526317,0.6206896551724138,0.5744680850941603,0.6749999999831251,0.7368421052534626,27,56,20,13
