Learning Rate,Son Train Loss,Son Val Acc,Yakınsama İter,Durum
0.1,0.46095203362991244,0.7758620689655172,1122,Yakınsadı
0.01,0.4610268622508129,0.7758620689655172,5000,Yakınsadı
0.001,0.4928182832985333,0.75,5000,Yakınsadı
0.0001,0.6299171397992998,0.7327586206896551,5000,Yakınsadı
