Parametre,Orig_Coef,Boot_Mean,Boot_Std,Bootstrap_Bias,CI95_Pct_Lo,CI95_Pct_Hi,CI95_BCa_Lo,CI95_BCa_Hi,Anlamli_Pct,Anlamli_BCa
intercept,-0.8537628423374088,-0.8650873564601624,0.12468220415271622,-0.011324514122753593,-1.109197476861734,-0.6278186463730123,-1.0929982895480177,-0.6117416949756487,True,True
Pregnancies,0.4063821500572789,0.40647984794694103,0.13859067345706227,9.769788966212944e-05,0.1358785489029525,0.6741134116644445,0.13573471272286552,0.6724578151506204,True,True
Glucose,1.1496680550305445,1.1751597705135473,0.14029819564690152,0.025491715483002775,0.919561662503607,1.4571814848449507,0.8701609846826379,1.4107577690501445,True,True
BloodPressure,-0.09163112742422361,-0.09273762432740126,0.10522339955499471,-0.0011064969031776561,-0.28542771249299137,0.12284625774835418,-0.2833244487763905,0.1265070989863412,False,False
SkinThickness,0.06381042876005034,0.06688633644809959,0.12305138924958892,0.0030759076880492453,-0.1705676398635206,0.31849685419530205,-0.16620896680145783,0.3196577711742579,False,False
Insulin,-0.02808945992677304,-0.03413547432660473,0.14133381005398762,-0.0060460143998316875,-0.318252408141985,0.2265700979861947,-0.2966223290795851,0.2498358987581436,False,False
BMI,0.655014972470642,0.668367988504593,0.1305179699228178,0.013353016033951004,0.4059927269419855,0.9275157237258967,0.37971044773006246,0.8937418451120511,True,True
DiabetesPedigreeFunction,0.24437726893363015,0.24785868727931787,0.1216225739589501,0.0034814183456877146,0.01308745431778179,0.48519896499114334,0.00010147755309778992,0.48357959653143134,True,True
Age,0.12062979205211648,0.12815321638069246,0.13570049652110777,0.007523424328575987,-0.13672787067781558,0.39081242947637235,-0.14885231351357076,0.37385411132077806,False,False
