Model,Accuracy,AUC-ROC,F1,Precision,Recall,TP,TN,FP,FN
Lojistik Reg.,0.7068965517241379,0.8351973684210526,0.5641025641025641,0.5789473684058172,0.54999999998625,22,60,16,18
KNN (K=20),0.7844827586206896,0.825328947368421,0.6666666666666666,0.7142857142653062,0.624999999984375,25,66,10,15
Gaussian NB,0.7155172413793104,0.7786184210526317,0.6206896551724138,0.5744680850941603,0.6749999999831251,27,56,20,13
