Parametre,β_EKK (sklearn),β_MLE (optim.),β_Analitik (NEQ),Mutlak Fark,Göreli Fark (%)
intercept,-3.660164241649223e-16,-3.6935673245903894e-16,-3.6008428245441655e-16,3.3403082941166564e-18,0.0
Pregnancies,-0.01553893521601831,-0.015538935216018164,-0.015538935216018181,1.457167719820518e-16,9.37752619187444e-13
Glucose,0.031242736862770147,0.03124273686276983,0.031242736862769776,3.157196726277789e-16,1.0105378220049622e-12
BloodPressure,0.19437370382523927,0.19437370382523927,0.19437370382523939,0.0,0.0
SkinThickness,0.5079540234679952,0.5079540234679955,0.5079540234679965,2.220446049250313e-16,4.371352419044708e-14
Insulin,0.06499592404008106,0.0649959240400812,0.06499592404008077,1.3877787807814457e-16,2.1351781689043203e-13
DiabetesPedigreeFunction,0.08432312490014193,0.08432312490014168,0.08432312490014165,2.498001805406602e-16,2.9624160731291843e-13
Age,-0.13303807409655932,-0.13303807409655904,-0.13303807409655913,2.7755575615628914e-16,2.086288140001475e-13
