Model,MSE,RMSE,MAE,R²
EKK — Validation,34.3788997391026,5.863352261215644,4.383477186273786,0.30643394683110814
EKK — Test,31.847972234848587,5.6434007685834775,4.4228328711188745,0.4314252269620322
MLE — Validation,34.3788997391026,5.863352261215644,4.383477186273786,0.30643394683110814
MLE — Test,31.84797223484859,5.643400768583478,4.422832871118874,0.4314252269620321
